BAR kodas,Likutis,Likučio skirtumas,Mat.vnt.,Pr. grupės kodas,Prekės kodas,Prekės pavadinimas,Sandėlis,Sujungimo Tipas,TOPO Eugestos kiekis,TOPO Eugestos kodas,TOPO Eugestos pavadinimas,TOPO Eugestos trumpas pavadinimas
477163208817,1.0,80,Vnt.,TG124,421193.0,Medžio anglies briketai PROflame 2 kg,LOG BROKAS,Sujungta,81,477163208817,Medžio anglies briketai PROflame 2 kg,Medžio anglies b
692528193995,1.0,79,Vnt.,TG066,400876.0,"Ausinės JBL Tune500BT ant ausų, bluetooth, juoda",LOG TRŪKUMAS,Sujungta,80,692528193995,"Ausinės JBL Tune500BT ant ausų, bluetoot",Tune500BT ant au
692528191892,110.0,76,Vnt.,TG066,400982.0,"Ausinės JBL T110BLK į ausis, su mikrofonu, juodos",LOG BENDRAS,Sujungta,186,692528191892,"Ausinės JBL T110BLK į ausis, su mikrofon","T110BLK į ausis,"
303005012159,75.0,-75,Vnt.,TG001,420375.0,Plaukų džiovintuvas BABYLISS D322RWE,LOG BENDRAS,Sujungta,0,303005012159,Plaukų džiovintuvas BABYLISS D322RWE,D322RWE
421020121742,69.0,-69,Vnt.,TG022,420412.0,Barzdaskutė BRAUN 9293s,LOG BENDRAS,Sujungta,0,421020121742,Barzdaskutė BRAUN 9293s,9293s
303005006942,150.0,-69,Vnt.,TG001,400906.0,Plaukų sukimo žnyplės BABYLISS C325E,LOG BENDRAS,Sujungta,81,303005006942,Plaukų sukimo žnyplės BABYLISS C325E,C325E
509920606285,152.0,66,Vnt.,TG090,402117.0,"Pelė LOGITECH M171, bevielė, pilka-juoda",LOG BENDRAS,Sujungta,218,509920606285,"Pelė LOGITECH M171, bevielė, pilka-juoda","M171, bevielė, p"
,0.0,66,,,,,,Nerasta Eugestos ataskaitoje,66,871010315339,Dulkių maišelis PHILIPS FC8022/04,FC8022/04
,0.0,65,,,,,,Nerasta Eugestos ataskaitoje,65,001929400532,Neš.komp. LENOVO IdeaPad 330-15IGM N4000,IdeaPad 330-15IG
509920602885,46.0,62,Vnt.,TG090,403313.0,"Pelė LOGITECH M185, bevielė, mėlyna",LOG BENDRAS,Sujungta,108,509920602885,"Pelė LOGITECH M185, bevielė, mėlyna","M185, bevielė, m"
401367402008,1.0,61,Vnt.,TG011,402548.0,"Elementai ANSMANN CR2016, 1vnt., litis, 3V",LOG PERTEKLIUS,Sujungta,62,401367402008,"Elementai ANSMANN CR2016, 1vnt., litis,","CR2016, 1vnt., l"
192940053267,61.0,-61,Vnt.,TG084,421584.0,Nešiojamas kompiuteris LENOVO IdeaPad 330-15IGM N4000/4/500GB SSD/Dos,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
,0.0,60,,,,,,Nerasta Eugestos ataskaitoje,60,000000000000,Skustuvas moterims BRAUN FG 1100,FG 1100
871010383518,42.0,59,Vnt.,TG120,401508.0,Drabužių garintuvas PHILIPS GC362/80,LOG BENDRAS,Sujungta,101,871010383518,Drabužių garintuvas PHILIPS Steam&Go GC3,Steam&Go GC362/8
,0.0,58,,,,,,Nerasta Eugestos ataskaitoje,58,000000000000,Plaukų formavimo šukos BABYLISS 667E,667E
,0.0,54,,,,,,Nerasta Eugestos ataskaitoje,54,871010314497,HEPA filtras PHILIPS FC8031/00 (H12),FC8031/00 (H12)
303005009897,118.0,-53,Vnt.,TG001,400927.0,Plaukų džiovintuvas BABYLISS 6610DE,LOG BENDRAS,Sujungta,65,303005009897,Plaukų džiovintuvas BABYLISS 6610DE,6610DE
,0.0,53,,,,,,Nerasta Eugestos ataskaitoje,53,509920602886,"Pelė LOGITECH M185, bevielė, raudona","M185, bevielė, r"
,0.0,53,,,,,,Nerasta Eugestos ataskaitoje,53,001925639972,Neš.komp. LENOVO IdeaPad 330 i3-8130/4/1,IdeaPad 330 i3-8
,0.0,51,,,,,,Nerasta Eugestos ataskaitoje,51,871010327638,"Virdulys PHILIPS HD4646/70, 1.5l",HD4646/70
192563997207,50.0,-50,Vnt.,TG084,404375.0,Nešiojamas kompiuteris LENOVO IdeaPad 330-15IGM i3-8130/4/1TB/Win,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
,0.0,50,,,,,,Nerasta Eugestos ataskaitoje,50,693417770548,Išmanioji apyrankė XIAOMI Mi Band 3,Mi Band 3
303005005982,71.0,-50,Vnt.,TG001,400898.0,Veidrodis BABYLISS 8438E,LOG BENDRAS,Sujungta,21,303005005982,Veidrodis BABYLISS 8438E,8438E
761303586435,193.0,48,Vnt.,TG108,400706.0,Kava NESCAFE Dolce Gusto Preludio Intenso kava 160g,LOG BENDRAS,Sujungta,241,761303586435,Kava NESCAFE Dolce Gusto Preludio Intens,Kava NESCAFE Dol
,0.0,47,,,,,,Nerasta Eugestos ataskaitoje,47,007117198457,Žaidimų kompiuteris SONY PlayStation 4 (,PlayStation 4 (P
303005012231,46.0,-46,Vnt.,TG001,404404.0,Plaukų formavimo šukos BABYLISS AS81E,LOG BENDRAS,Sujungta,0,303005012231,Pl. formav. šukos BABYLISS AS81E,AS81E
303005012128,162.0,-43,Vnt.,TG001,400947.0,Plaukų džiovintuvas BABYLISS D362E,LOG BENDRAS,Sujungta,119,303005012128,Plaukų džiovintuvas BABYLISS D362E,D362E
401367450201,49.0,42,Vnt.,TG011,402549.0,"Elementai ANSMANN CR2032, 1vnt., litis, 3V",LOG BENDRAS,Sujungta,91,401367450201,"Elementai ANSMANN CR2032, 1vnt., litis,","CR2032, 1vnt., l"
401511000806,42.0,-42,Vnt.,TG194,401353.0,Universalaus kirptuvo rinkinys WAHL Multi Purpose Grooming Kit 09854,LOG BENDRAS,Sujungta,0,401511000806,Universalaus kirptuvo rinkinys WAHL Mult,Multi Purpose Gr
421020116767,40.0,-40,Vnt.,TG022,421174.0,Plaukų ir barzdos kirpimo mašinėlė BRAUN MGK3020,LOG BENDRAS,Sujungta,0,421020116767,Kūno skustuvas BRAUN MGK3020 6in1 + Gill,MGK3020 6in1 + G
401511000551,40.0,-40,Vnt.,TG194,451904.0,Kirpimo mašinėlė nosiai WAHL 3-in-1 05545,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
424200297218,184.0,-38,Vnt.,TG021,404033.0,Laidynė BOSCH TLB5000,LOG BENDRAS,Sujungta,146,424200297218,Laidynė BOSCH TLB5000,TLB5000
693417770112,123.0,37,Vnt.,TG187,420510.0,"Išorinė baterija XIAOMI 10000mAh Mi 2S, sidabrinė",LOG BENDRAS,Sujungta,160,693417770112,"Išorinė baterija XIAOMI  10000mAh Mi 2S,"," 10000mAh Mi 2S,"
439179635568,37.0,-37,Vnt.,TG194,401348.0,Plaukų kirpimo mašinėlė WAHL Haircut&Beard 09639,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
711719845751,37.0,-37,Vnt.,TG150,402124.0,Žaidimų kompiuteris SONY PlayStation 4 (PS4) 500GB Slim Black,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
871010360200,1.0,37,Vnt.,TG120,401677.0,Plaukų džiovintuvas PHILIPS HP8230/00,LOG BROKAS,Sujungta,38,871010360200,Plaukų džiovintuvas PHILIPS HP8230/00,HP8230/00
692528192805,104.0,35,Vnt.,TG066,401062.0,"Ausinės JBL T110 Bluetooth, į ausis, juodos",LOG BENDRAS,Sujungta,139,692528192805,"Ausinės JBL T110 Bluetooth, į ausis, juo","T110 Bluetooth, "
509920602935,60.0,35,Vnt.,TG090,421725.0,"Pelė LOGITECH M235, bevielė, raudona",LOG BENDRAS,Sujungta,95,509920602935,"Pelė LOGITECH M235, bevielė, raudona","M235, bevielė, r"
733254355848,29.0,35,Vnt.,TG038,420653.0,Dulkių siurblys šluota ELECTROLUX EER77MBM,LOG BENDRAS,Sujungta,64,733254355848,Dulkių siurblys ELECTROLUX EER77MBM,EER77MBM
,0.0,32,,,,,,Nerasta Eugestos ataskaitoje,32,003126203977,Masažinė pagalvė HOMEDICS SP-39HW-EU,SP-39HW-EU
,0.0,32,,,,,,Nerasta Eugestos ataskaitoje,32,400251520169,Gaiviklis rūbams COCOON Miele džiovyklei,Cocoon 10234580
690144329736,59.0,32,Vnt.,TG057,451895.0,Mobilusis telefonas HUAWEI Y5 (2019) Black,LOG BENDRAS,Sujungta,91,690144329736,Mob.tel. HUAWEI Y5 (2019) Black,Y5 (2019) Black
,0.0,32,,,,,,Nerasta Eugestos ataskaitoje,32,004391700100,Barzdakirpė WAHL Groomsman 09918,Groomsman 09918
401367402011,732.0,32,Vnt.,TG011,402555.0,"Elementai ANSMANN CR2450, 1vnt., litis, 3V",LOG BENDRAS,Sujungta,764,401367402011,"elementai ANSMANN CR2450, 1vnt., litis,","CR2450, 1vnt., l"
477902066011,478.0,31,Vnt.,TG077,402413.0,Distiliuotas vanduo 1 L,LOG BENDRAS,Sujungta,509,477902066011,Distiliuotas vanduo 1 L,Distiliuotas van
761303362327,219.0,31,Vnt.,TG108,400705.0,"Kava NESCAFE Dolce Gusto BuonGiorno Grande Intenso 16 kaps.,160g",LOG BENDRAS,Sujungta,250,761303362327,Kavos kapsulės NESCAFE Dolce Gusto BuonG,Dolce Gusto Buon
509920606286,3.0,31,Vnt.,TG090,402193.0,"Pelė LOGITECH M171, bevielė, mėlyna-juoda",LOG TRŪKUMAS,Sujungta,34,509920606286,"Pelė LOGITECH M171, bevielė, mėlyna-juod","M171, bevielė, m"
400272000850,1.0,30,Vnt.,TG096,403695.0,Kavos pupelės MELITTA BellaCrema Speciale 1kg,LOG BROKAS,Sujungta,31,400272000850,Kavos pupelės MELITTA BellaCrema Special,Kavos pupelės ME
692528193995,50.0,30,Vnt.,TG066,400876.0,"Ausinės JBL Tune500BT ant ausų, bluetooth, juoda",LOG BENDRAS,Sujungta,80,692528193995,"Ausinės JBL Tune500BT ant ausų, bluetoot",Tune500BT ant au
509920606287,1.0,30,Vnt.,TG090,451850.0,"Pelė LOGITECH M171, bevielė, raudona-juoda",LOG TRŪKUMAS,Sujungta,31,509920606287,"Pelė LOGITECH M171, bevielė, raudona-juo","M171, bevielė, r"
439170010050,30.0,-30,Vnt.,TG194,401349.0,Barzdakirpė WAHL Groomsman 09918,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
599641502045,30.0,-30,Vnt.,TG194,451907.0,Barzdakirpė WAHL 1541,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
,0.0,30,,,,,,Nerasta Eugestos ataskaitoje,30,304538637527,"Virdulys TEFAL KO260130 1,7l baltas","KO260130 1,7l ba"
312104007378,117.0,30,Vnt.,TG135,451761.0,"Plaukų tiesintuvas ROWENTA SF1525F0, baltas/sidabrinis",LOG BENDRAS,Sujungta,147,312104007378,"Plaukų tiesintuvas ROWENTA SF1525F0, bal",Plaukų tiesintuv
,0.0,29,,,,,,Nerasta Eugestos ataskaitoje,29,000000000000,Padėklai 80x120,Padėklai 80x120
400251520243,38.0,-29,Vnt.,TG098,403342.0,Gaiviklis rūbams AQUA Miele džiovyklei 9428830-9428840-10231860-10231890,LOG BENDRAS,Sujungta,9,400251520243,Gaiviklis rūbams AQUA Miele džiovyklei 9,Aqua  9428830-94
312620397744,29.0,-29,Vnt.,TG054,401974.0,Masažinė pagalvė HOMEDICS SP-39HW-EU,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
711719260332,167.0,28,Vnt.,TG150,402453.0,Žaid. kortelė PlayStation Plus 365 d. Suomijos reg.,LOG BENDRAS,Sujungta,195,711719260332,Žaid. kortelė PlayStation Plus 365 d. Su,PlayStation Plus
761303630627,224.0,27,Vnt.,TG108,400711.0,"Kava NESCAFE Dolce Gusto Cappuccino, 8+8 kaps., 186,4g",LOG BENDRAS,Sujungta,251,761303630627,Kavos kapsulės NESCAFE Dolce Gusto Cappu,Dolce Gusto Capp
400814600339,35.0,-27,Vnt.,TG146,421046.0,Pieno plakiklis SEVERIN 9688,LOG BENDRAS,Sujungta,8,400814600339,Pieno plakiklis SEVERIN 9688,9688
,0.0,27,,,,,,Nerasta Eugestos ataskaitoje,27,871010336533,Dulkių siurblys PHILIPS FC6142/01,FC6142/01
692528191893,160.0,26,Vnt.,TG066,400984.0,"Ausinės JBL T110WHT į ausis, su mikrofonu, baltos",LOG BENDRAS,Sujungta,186,692528191893,"Ausinės JBL T110WHT į ausis, su mikrofon","T110WHT į ausis,"
761303659573,366.0,25,Vnt.,TG108,401017.0,"Kava NESCAFE Dolce Gusto Flat White, 187.2g",LOG BENDRAS,Sujungta,391,761303659573,"Kava NESCAFE Dolce Gusto Flat White, 187",Kava NESCAFE Dol
761303315777,373.0,25,Vnt.,TG108,400704.0,Kakava NESCAFE Dolce Gusto Nesquik kapsulės 16 kaps. 256g.,LOG BENDRAS,Sujungta,398,761303315777,Kavos kapsulės NESCAFE Dolce Gusto Nesqu,Dolce Gusto Nesq
871010388387,9.0,24,Vnt.,TG120,420997.0,Epiliatorius PHILIPS BRE225/00,LOG BENDRAS,Sujungta,33,871010388387,Epiliatorius PHILIPS BRE225/00,BRE225/00
,0.0,24,,,,,,Nerasta Eugestos ataskaitoje,24,509920603914,Klaviatūros ir pelės komplektas LOGITECH,MK270 int
424200280241,83.0,24,Vnt.,TG021,402016.0,"Virdulys BOSCH TWK 7808, 1.7l, auksinis",LOG BENDRAS,Sujungta,107,424200280241,"Virdulys BOSCH TWK 7808, 1.7l, auksinis",TWK 7808
303005007632,24.0,-24,Vnt.,TG001,404405.0,Plaukų kirpimo mašinėlė BaByliss E835E,LOG BENDRAS,Sujungta,0,303005007632,Plaukų kirpimo mašinėlė BaByliss E835E,E835E
880164377212,1.0,23,Vnt.,TG141,421323.0,Mobilusis telefonas SAMSUNG Galaxy A50 A505F Black,LOG BROKAS,Sujungta,24,880164377212,Mob.tel. SAMSUNG Galaxy A50 A505F Black,Galaxy A50 A505F
400251548848,1.0,23,Vnt.,TG098,403473.0,Dulkių maišelis MIELE HyClean FJM 3D 09917710,LOG BROKAS,Sujungta,24,400251548848,Dulkių maišelis MIELE HyClean FJM 3D 099,HyClean FJM 3D 0
,0.0,22,,,,,,Nerasta Eugestos ataskaitoje,22,001929400665,Neš.komp. LENOVO IdeaPad 330S Ryzen 5/8/,IdeaPad 330S Ryz
424200280220,65.0,22,Vnt.,TG021,402401.0,"Virdulys BOSCH TWK 7804, 1.7l, raudonas",LOG BENDRAS,Sujungta,87,424200280220,"Virdulys BOSCH TWK 7804, 1.7l, raudonas",TWK 7804
031262085634,21.0,-21,Vnt.,TG054,401577.0,Aromato skleidiklis HOMEDICS MYB-A100-EU2,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
,0.0,21,,,,,,Nerasta Eugestos ataskaitoje,21,871010388232,Epiliatorius PHILIPS BRE245/00,BRE245/00
,0.0,21,,,,,,Nerasta Eugestos ataskaitoje,21,009122000000,Nuosėdų šalinimo kasetė PHILIPS lygin. s,lygin. sist. GC0
761303302416,377.0,21,Vnt.,TG108,400703.0,Kava NESCAFE Dolce Gusto Caramel Latte Macchiato 8+8 kaps. 168 g,LOG BENDRAS,Sujungta,398,761303302416,Kavos kapsulės NESCAFE Dolce Gusto Caram,Dolce Gusto Cara
912200000028,21.0,-21,Vnt.,TG120,401751.0,"Nuosėdų šalinimo kasetė PHILIPS lygin. sist. GC002/00, 2 vnt",LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
,0.0,21,,,,,,Nerasta Eugestos ataskaitoje,21,000031262085,Aromato skleidiklis difuzorius HOMEDICS,MYB-A100-EU2
509920602728,133.0,21,Vnt.,TG090,402113.0,"Pelė LOGITECH M185, bevielė, pilka",LOG BENDRAS,Sujungta,154,509920602728,"Pelė LOGITECH M185, bevielė, pilka","M185, bevielė, p"
192940066571,20.0,-20,Vnt.,TG084,421435.0,Nešiojamas kompiuteris LENOVO IdeaPad 330S Ryzen 5/8/128GB SSD/Win,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
,0.0,20,,,,,,Nerasta Eugestos ataskaitoje,20,000000000000,Plaukų suktukai BABYLISS 3060E,3060E
314172870470,991.0,20,Vnt.,TG190,401226.0,"Popierius REY COPY A4, 80g/m2, 500 lapų",LOG BENDRAS,Sujungta,1011,314172870470,"Popierius REY COPY A4, 80g/m2, 500 lapų","COPY A4, 80g/m2,"
761303125267,185.0,19,Vnt.,TG108,400720.0,Karštas šokoladas NESCAFE Dolce Gusto Chococino 16 kaps.,LOG BENDRAS,Sujungta,204,761303125267,Kavos kapsulės NESCAFE Dolce Gusto Choco,Dolce Gusto Choc
401367400378,1.0,19,Vnt.,TG011,402791.0,"Elementai ANSMANN LR6(AA), 2 vnt. / X-Power, alkaline",LOG BENDRAS,Sujungta,20,401367400378,"elementai ANSMANN LR6(AA), 2 vnt. / X-Po","LR6(AA), 2 vnt. "
880164379477,30.0,19,Vnt.,TG141,421325.0,Mobilusis telefonas SAMSUNG Galaxy A50 A505F White,LOG BENDRAS,Sujungta,49,880164379477,Mob.tel. SAMSUNG Galaxy A50 A505F White,Galaxy A50 A505F
,0.0,19,,,,,,Nerasta Eugestos ataskaitoje,19,000000000000,Kirpimo mašinėlė nosiai BRAUN EN 10,EN 10
800370510791,34.0,19,Vnt.,TG188,421602.0,Laidynė ARIETE Travel Chick 6224,LOG BENDRAS,Sujungta,53,800370510791,Laidynė-garintuvas ARIETE Travel Chic 62,Travel Chic 6224
304538637120,1.0,19,Vnt.,TG158,400937.0,Vaflinė TEFAL SW854D16,LOG TRŪKUMAS,Sujungta,20,304538637120,Vaflinė TEFAL SW854D16,SW854D16
477901862011,80.0,18,Vnt.,TG099,400222.0,"Bulvių tarkavimo mašina ""Migiris"" BETM-1",LOG BENDRAS,Sujungta,98,477901862011,Bulvių tarkavimo mašina MIGIRIS BETM-1,MIGIRIS BETM-1
509920606397,65.0,18,Vnt.,TG090,402196.0,"Klaviatūros ir pelės komplektas LOGITECH MK235, belaidis, US, juodas",LOG BENDRAS,Sujungta,83,509920606397,Klaviatūros ir pelės komplektas LOGITECH,"MK235, belaidis,"
690144327941,59.0,18,Vnt.,TG057,286879.0,"Mobilusis telefonas HUAWEI Y6 2019, rudas",LOG BENDRAS,Sujungta,77,690144327941,"Mob.tel. HUAWEI Y6 2019, Brown","Y6 2019, Brown"
761303663972,81.0,18,Vnt.,TG108,421698.0,"Kavos kapsulės NESCAFE Dolce Gusto Grande, ekologiška kava iš Meksikos, 108 g",LOG BENDRAS,Sujungta,99,761303663972,Kavos kapsulės NESCAFE Dolce Gusto Grand,Dolce Gusto Gran
401367400552,30.0,18,Vnt.,TG011,402797.0,"Elementai ANSMANN LR6(AA), 4 vnt., alkaline",LOG BENDRAS,Sujungta,48,401367400552,"elementai ANSMANN LR6(AA), 4 vnt., alkal","LR6(AA), 4 vnt.,"
,0.0,17,,,,,,Nerasta Eugestos ataskaitoje,17,003505155480,Žaislas - lėlė L.O.L (LOL) Bling Series,Žaislas - lėlė L
401367402423,106.0,17,Vnt.,TG011,402781.0,"Elementai ANSMANN CR1632, 1vnt., litis, 3V",LOG BENDRAS,Sujungta,123,401367402423,"elementai ANSMANN CR1632, 1vnt., litis,","CR1632, 1vnt., l"
690144325097,1.0,17,Vnt.,TG057,400677.0,Mobilusis telefonas HUAWEI P20 64GB Blue,LOG BENDRAS,Sujungta,18,690144325097,Mob.tel. HUAWEI P20 64GB Blue,P20 64GB Blue
509920602717,17.0,16,Vnt.,TG090,403484.0,"Pelė LOGITECH M235, bevielė, juoda",LOG BENDRAS,Sujungta,33,509920602717,"Pelė LOGITECH M235, bevielė, juoda","M235, bevielė, j"
477903303018,1.0,16,Vnt.,TG009,400946.0,Alkotesteris ALCODETECTOR S60,LOG TRŪKUMAS,Sujungta,17,477903303018,Alkotesteris ALCODETECTOR S60,ALCODETECTOR S60
761303216603,136.0,16,Vnt.,TG108,400719.0,Kava NESCAFE Dolce Gusto Grande 16 kaps 128g,LOG BENDRAS,Sujungta,152,761303216603,Kavos kapsulės NESCAFE Dolce Gusto Grand,Dolce Gusto Gran
047871089314,16.0,-16,Vnt.,TG077,403676.0,Dūmų detektorius 10Y29,LOG BENDRAS,Nerasta TOPO sandėlyje,0,,,
421020105088,36.0,16,Vnt.,TG022,400013.0,Epiliatorius BRAUN SE5185 L,LOG BENDRAS,Sujungta,52,421020105088,Epiliatorius BRAUN SE5185 L,SE5185 L
880164370228,68.0,16,Vnt.,TG141,421711.0,"Išorinė baterija SAMSUNG 10000mAh su Type-C, sidabrinis,EB-U1200CSEGWW",LOG BENDRAS,Sujungta,84,880164370228,Išorinė baterija SAMSUNG 10000mAh su Typ,Išorinė baterija
,0.0,16,,,,,,Nerasta Eugestos ataskaitoje,16,000047871089,Dūmų detektorius 10Y29,10Y29
303005009905,119.0,16,Vnt.,TG001,400939.0,Plaukų džiovintuvas BABYLISS 6609E,LOG BENDRAS,Sujungta,135,303005009905,Plaukų džiovintuvas BABYLISS 6609E,6609E
842776106162,4.0,16,Vnt.,TG077,404178.0,Adapteris Google Chromecast 3,LOG BENDRAS,Sujungta,20,842776106162,Adapteris Google Chromecast 3,Google Chromecas
,0.0,16,,,,,,Nerasta Eugestos ataskaitoje,16,004391791646,Kirpimo mašinėlė gyvūnams WAHL Pro Grip,Pro Grip 09164
401367402009,55.0,15,Vnt.,TG011,402554.0,"Elementai ANSMANN CR2430, 1vnt., litis, 3V",LOG BENDRAS,Sujungta,70,401367402009,"elementai ANSMANN CR2430, 1vnt., litis,","CR2430, 1vnt., l"
